energy,intensity,InitialState,FinalState,alpha,gamma
630.80,0.018,2360.57_214Po,1729.61_214Po,0,1
630.80,0.018,2719.27_214Po,2088.44_214Po,0,1
633.10,0.056,2010.83_214Po,1377.68_214Po,0.044,1
634.72,0.0064,2482.47_214Po,1847.44_214Po,0.043,1
639.62,0.033,2017.31_214Po,1377.68_214Po,0.0183,1
649.22,0.057,2192.54_214Po,1543.37_214Po,0.041,1
651.50,0.002,2662.31_214Po,2010.83_214Po,0,1
658.70,0.014,2423.23_214Po,1764.52_214Po,0,1
660.94,0.053,2204.09_214Po,1543.37_214Po,0.039,1
665.45,1.531,1274.77_214Po,609.32_214Po,0.00579,1
677.41,0.006,2694.62_214Po,2017.31_214Po,0,1
683.23,0.082,2447.70_214Po,1764.52_214Po,0.00551,1
687.60,0.0065,2698.76_214Po,2010.83_214Po,0,1
693.30,0.0056,2423.23_214Po,1729.61_214Po,0,1
697.93,0.067,1712.97_214Po,1015.04_214Po,0.034,1
699.82,0.016,2694.62_214Po,1994.64_214Po,0,1
703.11,0.472,2118.53_214Po,1415.49_214Po,0.0519,1
704.96,0.047,2447.70_214Po,1742.98_214Po,0.00519,1
708.87,0.0121,2719.27_214Po,2010.83_214Po,0,1
710.71,0.074,2088.44_214Po,1377.68_214Po,0,1
719.87,0.392,1994.64_214Po,1274.77_214Po,0.01424,1
723.08,0.037,2266.41_214Po,1543.37_214Po,0.0141,1
733.81,0.041,2728.61_214Po,1994.64_214Po,0,1
740.76,0.043,2118.53_214Po,1377.68_214Po,0.029,1
752.85,0.128,2482.47_214Po,1729.61_214Po,0.028,1
768.36,4.894,1377.68_214Po,609.32_214Po,0.0157,1
769.70,0.03,2147.83_214Po,1377.68_214Po,0,1
785.96,1.06,839.01_214Bi,53.23_214Bi,0.00406,1
786.35,0.32,2447.70_214Po,1661.28_214Po,0.00422,1
788.60,0.013,2204.09_214Po,1415.49_214Po,0.0385,1
799.70,0.0104,799.70_210Pb,0.00_210Pb,0.01052,1
803.06,0.00103,803.05_206Pb,0.00_206Pb,0.01033,1
806.18,1.264,1415.49_214Po,609.32_214Po,0.01127,1
814.96,0.039,2192.54_214Po,1377.68_214Po,0.023,1
821.18,0.161,2482.47_214Po,1661.28_214Po,0.0346,1
826.45,0.117,2204.09_214Po,1377.68_214Po,0.0341,1
832.36,0.028,1847.44_214Po,1015.04_214Po,0.01057,1
839.07,0.583,839.01_214Bi,0.00_214Bi,0.00359,1
840.40,0.01,2604.68_214Po,1764.52_214Po,0,1
847.16,0.024,2694.62_214Po,1847.44_214Po,0,1
873.06,0.018,2147.83_214Po,1274.77_214Po,0,1
878.03,0.012,2293.36_214Po,1415.49_214Po,0.019,1
904.31,0.076,2447.70_214Po,1543.37_214Po,0.00326,1
915.75,0.023,2293.36_214Po,1377.68_214Po,0.017,1
917.70,0.005,2192.54_214Po,1274.77_214Po,0.00317,1
930.20,0.026,2694.62_214Po,1764.52_214Po,0,1
934.06,3.107,1543.37_214Po,609.32_214Po,0.0234,1
934.10,0.05,2208.69_214Po,1274.77_214Po,0,1
934.50,0.01,2698.76_214Po,1764.52_214Po,0,1
938.65,0.013,2785.96_214Po,1847.44_214Po,0,1
939.60,0.017,2482.47_214Po,1543.37_214Po,0.016,1
943.33,0.017,2604.68_214Po,1661.28_214Po,0,1
949.80,0.0055,2662.31_214Po,1712.97_214Po,0,1
952.20,0.0059,2694.62_214Po,1742.98_214Po,0,1
961.62,0.0101,2505.37_214Po,1543.37_214Po,0,1
964.08,0.365,2728.61_214Po,1764.52_214Po,0,1
965.00,0.011,2508.17_214Po,1543.37_214Po,0,1
976.18,0.0154,2719.27_214Po,1742.98_214Po,0,1
991.49,0.011,2266.41_214Po,1274.77_214Po,0.00276,1
1013.40,0.013,2860.89_214Po,1847.44_214Po,0,1
1021.36,0.015,2785.96_214Po,1764.52_214Po,0,1
1032.38,0.063,2447.70_214Po,1415.49_214Po,0.00257,1
1033.30,0.02,2694.62_214Po,1661.28_214Po,0,1
1038.00,0.0084,2698.76_214Po,1661.28_214Po,0,1
1045.70,0.023,2423.23_214Po,1377.68_214Po,0,1
1051.96,0.313,1661.28_214Po,609.32_214Po,0.012,1
1058.10,0.008,2719.27_214Po,1661.28_214Po,0,1
1062.40,0.013,2826.98_214Po,1764.52_214Po,0,1
1067.39,0.025,2728.61_214Po,1661.28_214Po,0,1
1069.96,0.272,2447.70_214Po,1377.68_214Po,0.00241,1
1087.40,0.015,2630.86_214Po,1543.37_214Po,0,1
1103.70,0.098,1712.97_214Po,609.32_214Po,0.011,1
1104.71,0.078,2482.47_214Po,1377.68_214Po,0.011,1
1108.80,0.015,2769.94_214Po,1661.28_214Po,0,1
1118.90,0.04,2662.31_214Po,1543.37_214Po,0,1
1120.29,14.92,1729.61_214Po,609.32_214Po,0.01522,1
1130.45,0.036,2508.17_214Po,1377.68_214Po,0,1
1133.66,0.2512,1742.98_214Po,609.32_214Po,0.00578,1
1155.21,1.633,1764.52_214Po,609.32_214Po,0.0135,1
1155.60,0.016,2698.76_214Po,1543.37_214Po,0,1
1156.00,0.007,3003.40_214Po,1847.44_214Po,0,1
1167.30,0.012,2544.96_214Po,1377.68_214Po,0,1
1173.00,0.055,2447.70_214Po,1274.77_214Po,0.00542,1
1207.68,0.451,2482.47_214Po,1274.77_214Po,0.00196,1
1226.70,0.018,2769.94_214Po,1543.37_214Po,0,1
