 energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
354.16,0.15,0.00096,0.00011,1109.200,755.396,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
357.26,0.05,0.0061,0.0004,1649.833,1292.753,,,[E1],,,0.00953, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
358.48,0.07,0.00165,0.00013,1730.207,1371.721,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
367.7891,0.002,0.859,0.006,1123.1855,755.396,,,E1,,,0.00964, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
378.15,0.24,0.00024,0.00006,1612.88,1233.8626,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
379.36,0.18,0.00082,0.00021, , ,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
385.61,0.21,0.00556,0.00024,1757.001,1371.721,,,[M1 E2],,,0.034, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
387.9,0.08,0.0029,0.0003,1318.456,930.546,,,(M1+E2+E0),,,0.038, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
389.07,0.11,0.0035,0.0013, , ,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
391.19,0.07,0.00141,0.00004,1612.88,1221.67,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
395.75,0.19,0.008,0.003, , ,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
397.75,0.26,0.00037,0.00006,1769.130,1371.721,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
401.29,0.09,0.00064,0.00004,1085.8408,684.69,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
406.74,0.15,0.00082,0.00021, , ,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
411.1165,0.0012,2.237,0.013,755.3960,344.2789,,,E2,,,0.0238, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
416.02,0.03,0.1088,0.0019,1649.833,1233.8626,,,[E1],,,0.00660, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
423.45,0.04,0.00298,0.00021,1233.8626,810.453,,,[M1 E2],,,0.027, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
440.86,0.1,0.0062,0.0004,1550.17,1109.2,,,[E2],,,0.0196, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
441, , , , , ,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
443.9606,0.0016,2.827,0.014,1529.8019,1085.8408,,,E1+M2,+0.058,12,0.00598, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
444.01,0.17,0.298,0.011,810.453,366.4795,,,E2,,,0.01772, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
464.28,0.14,0.00045,0.00019,1757.001,1292.753,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
476.42,0.09,0.0017,0.0003,1769.130,1292.753,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
482.33,0.05,0.0247,0.0008,1292.753,810.453,,,E0+M1+E2,,,0.062, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
482.4, ,0.00234,0.00011,1605.596,1123.1855,,,[E1],,,0.00511, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
488.6792,0.002,0.414,0.003,1529.8019,1041.1217,,,M1+E2,+5.6,5,0.01392, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
493.54,0.04,0.0303,0.0013,1579.427,1085.8408,,,[E1],,,0.00444, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
493.78, ,0.0098,0.0004,1109.200,615.415,,,[E2],,,0.01442, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
496.4, ,0.00588,0.00024,1605.596,1109.2,,,E0+M1+E2,,,0.020, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
496.56,0.24,0.0058,0.0021,1730.207,1233.8626,,,[E1],,,0.00438, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
503.467,0.009,0.1524,0.002,1434.020,930.546,,,(E2),,,0.01370, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
514.78,0.06,0.00043,0.00008,1221.67,706.91,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
520.24,0.04,0.0534,0.0016,1643.421,1123.1855,,,[M1 E2],,,0.018, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
523.13,0.05,0.0153,0.0006,1757.001,1233.8626,,,[M1 E2],,,0.015, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
526.88,0.05,0.012,0.0008,1282.24,755.396,,,E0+M1+E2,,,0.017, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
527.1, ,0.0001861,0.0000008,1612.88,1085.8408,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
534.25,0.05,0.041,0.0011,1643.421,1109.2,,,[E1],,,0.00407, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
535.44,0.12,0.00173,0.00013,1769.130,1233.8626,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
536.23, , , , , ,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
538.29,0.06,0.0043,0.0003,1579.427,1041.1217,,,[M1 E2],,,0.014, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
556.48,0.1,0.0177,0.0006,1579.427,1022.969,,,[E1],,,0.00340, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
557.8, ,0.0029,0.0003,1605.596,1047.81,,,[E2],,,0.01051, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
561.26,0.17,0.00141,0.00024,1371.721,810.453,,,[E2],,,0.00949, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
