 energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
528,1,0.005,0.002,1543.372,1015.039,,,[E2],,,0.0282, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
536.78,0.04,0.065,0.006,2266.41,1729.609,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
542.83,0.07,0.077,0.006,2204.089,1661.279,,,[M1 E2],,,0.06, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
547.6,0.3,0.004, ,2208.69,1661.279,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
551.9,0.8, , ,3000,2447.702,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
572.78,0.06,0.078,0.005,1847.443,1274.766,,,[E1],,,0.00779, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
579.14,0.16, , ,1994.64,1415.495,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
581.9,0.8, , ,2785.96,2204.089,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
595.24,0.07,0.017,0.002,2010.83,1415.495,,,[E2],,,0.0215, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
598.5,0.8, , ,2802.53,2204.089,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
600,0.5,0.008,0.002,2719.27,2118.533,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
609.32,0.005,45.49,0.16,609.316,0,,,E2,,,0.0204, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
615.77,0.05,0.054,0.007,1890.306,1274.766,,,[E1],,,0.00674, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
617.1,0.2,0.034,0.004,1994.64,1377.678,,,[E1],,,0.00672, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
626.4,0.6,0.004,0.001,2893.58,2266.41,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
630.8,0.1,0.018, ,2360.57,1729.609,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
630.8,0.1,0.018, ,2719.27,2088.44,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
633.1,0.04,0.056,0.003,2010.83,1377.678,,,[M1 E2],,,0.044, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
634.72,0.21,0.0064,0.0023,2482.468,1847.443,,,[M1 E2],,,0.043, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
639.62,0.08,0.033,0.003,2017.309,1377.678,,,[E2],,,0.0183, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
649.22,0.05,0.057,0.005,2192.537,1543.372,,,[M1 E2],,,0.041, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
651.5,0.16,0.002, ,2662.31,2010.83,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
658.7,0.2,0.014,0.002,2423.23,1764.515,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
660.94,0.13,0.053,0.004,2204.089,1543.372,,,[M1 E2],,,0.039, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
665.447,0.009,1.531,0.006,1274.766,609.316,,,E1,,,0.00579, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
677.41,0.15,0.006,0.003,2694.62,2017.309,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
683.23,0.05,0.082,0.005,2447.702,1764.515,,,[E1],,,0.00551, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
687.6,0.19,0.0065,0.0013,2698.76,2010.83,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
693.3,0.3,0.0056,0.0015,2423.23,1729.609,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
697.93,0.08,0.067,0.004,1712.97,1015.039,,,[M1 E2],,,0.034, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
699.82,0.13,0.016,0.005,2694.62,1994.64,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
703.11,0.04,0.472,0.009,2118.533,1415.495,,,[M1],,,0.0519, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
704.96,0.22,0.047,0.007,2447.702,1742.98,,,[E1],,,0.00519, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
708.87,0.21,0.0121,0.0012,2719.27,2010.83,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
710.3,0.3, , ,2423.23,1712.97,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
710.71,0.08,0.074,0.002,2088.44,1377.678,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
719.87,0.03,0.392,0.008,1994.64,1274.766,,,E2,,,0.01424, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
723.08,0.1,0.037,0.003,2266.41,1543.372,,,E2,,,0.0141, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
727,1,0.036,0.014, , ,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
733.81,0.07,0.041,0.003,2728.609,1994.64,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
740.76,0.13,0.043,0.002,2118.533,1377.678,,,[M1 E2],,,0.029, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
752.85,0.03,0.128,0.007,2482.468,1729.609,,,[M1 E2],,,0.028, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
768.36,0.005,4.894,0.011,1377.678,609.316,,,M1+E2,2.8,7,0.0157, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
769.7,0.5,0.03,0.01,2147.83,1377.678,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
786.35,0.14,0.32,0.04,2447.702,1661.279,,,[E1],,,0.00422, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
788.6,0.4,0.013,0.002,2204.089,1415.495,,,[M1],,,0.0385, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
799.3,0.3,0.036,0.007, , ,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
803.1, ,0.005,0.001, , ,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
806.18,0.009,1.264,0.005,1415.495,609.316,,,E2,,,0.01127, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
814.96,0.09,0.039,0.003,2192.537,1377.678,,,[M1 E2],,,0.023, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
821.18,0.03,0.161,0.008,2482.468,1661.279,,,M1,,,0.0346, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
826.45,0.1,0.117,0.013,2204.089,1377.678,,,M1,,,0.0341, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
832.36,0.09,0.028,0.002,1847.443,1015.039,,,[E2],,,0.01057, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
840.4,0.5,0.01,0.002,2604.68,1764.515,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
847.16,0.11,0.024,0.003,2694.62,1847.443,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
866,0.8, , ,2630.86,1764.515,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
