,Energy,Detector,Nuclide,is_InCas,Daughter,x100mm,dx100mm,x13mm,dx13mm,z,dz,sim_z
33,609.316,A0,226Ra,1,214Po,0.002392949594867,1.97559156640368e-05,0.011099371099379,9.16087214560495e-05,NA,NA,1.09179
34,609.316,A1,226Ra,1,214Po,0.002597359533126,2.14421470240411e-05,0.012209831264956,0.000100769661898,1.15330703330566,0.0215601270935829,1.08065
35,609.316,A2,226Ra,1,214Po,0.002377788835469,1.96307871338913e-05,0.011186078333293,9.23239387869583e-05,1.15155270270375,0.0215328706957935,1.09157
36,609.316,A3,226Ra,1,214Po,0.002450427432247,2.02301027619994e-05,0.011329365024781,9.35062351015135e-05,1.10022193173728,0.0205724483187604,1.08231
37,609.316,B0,226Ra,1,214Po,0.002592586726434,2.14028942435743e-05,0.011573632319654,9.55217512570492e-05,1.08129859138188,0.0202167734356836,1.08574
38,609.316,B1,226Ra,1,214Po,0.002478383010959,2.04606778942549e-05,0.010906509736085,9.00176967750861e-05,1.08753522856474,0.0203361909468065,1.08699
39,609.316,B2,226Ra,1,214Po,0.00247752270143,2.04536481719824e-05,0.011006303984517,9.08412067166729e-05,1.12386200675546,0.0210151808880221,1.08283
40,609.316,B3,226Ra,1,214Po,0.002529420107334,2.08817344247197e-05,0.011584424296156,9.56107294005149e-05,1.12468791010642,0.0210282362668179,1.09941
41,665.453,A0,226Ra,1,214Po,0.00219626534315,1.86217400904028e-05,0.009815416752226,8.2305394508316e-05,NA,NA,1.15393
42,665.453,A1,226Ra,1,214Po,0.002383328959212,2.01239500462377e-05,0.010727470618103,8.97023316511335e-05,1.20450661413525,0.0226762052060145,1.14945
43,665.453,A2,226Ra,1,214Po,0.002178392391587,1.84605248231078e-05,0.009793613068303,8.20881552511889e-05,1.20498478011915,0.022717792551048,1.14964
44,665.453,A3,226Ra,1,214Po,0.002245943820733,1.90343499058228e-05,0.009972850891313,8.36151086445488e-05,1.14557515167378,0.0215987872810864,1.15695
45,665.453,B0,226Ra,1,214Po,0.002379248434664,2.01416773830414e-05,0.010108428195915,8.48107295696968e-05,1.13615657748026,0.0214176108729364,1.16627
46,665.453,B1,226Ra,1,214Po,0.002279207541002,1.92845898680965e-05,0.009508852639716,7.97812436828362e-05,1.14714009091093,0.0216251469926973,1.19517
47,665.453,B2,226Ra,1,214Po,0.002264509127165,1.92073101997082e-05,0.009547624987312,8.01454407142121e-05,1.18417414252899,0.0223361789585667,1.14715
48,665.453,B3,226Ra,1,214Po,0.002324078469556,1.96695297861012e-05,0.010086802289005,8.45543403775477e-05,1.18681436671388,0.0223676387020741,1.15993
49,768.367,A0,226Ra,1,214Po,0.001963400022387,1.72723420886509e-05,0.009093541549919,7.97380129111391e-05,NA,NA,1.08929
50,768.367,A1,226Ra,1,214Po,0.00214967392633,1.8893837144776e-05,0.010056297951294,8.81258712239321e-05,1.15892942427046,0.0222094740962261,1.11894
51,768.367,A2,226Ra,1,214Po,0.001944983269165,1.71108815426166e-05,0.00914278751794,8.01662985571451e-05,1.15245940062333,0.0220974850537392,1.10381
52,768.367,A3,226Ra,1,214Po,0.002018462695936,1.77540101900703e-05,0.009308815631802,8.1619014010279e-05,1.1029868137996,0.0211474054290885,1.08247
53,768.367,B0,226Ra,1,214Po,0.002152865386936,1.89270236613321e-05,0.009543741713945,8.36753991900678e-05,1.08888050728219,0.0208730099932136,1.11924
54,768.367,B1,226Ra,1,214Po,0.002039654940094,1.79362014718003e-05,0.008923561753613,7.82539156429297e-05,1.09390389861554,0.0209738644268308,1.0835
55,768.367,B2,226Ra,1,214Po,0.002038726559459,1.79330385321492e-05,0.009030737894741,7.91968748135403e-05,1.12712632618267,0.0216119983508837,1.12086
56,768.367,B3,226Ra,1,214Po,0.002079441884597,1.82850208202297e-05,0.009440409111943,8.27670096089642e-05,1.13459662631302,0.0217502616574955,1.10793
