,Energy,Detector,Nuclide,is_InCas,Daughter,x100mm,dx100mm,x13mm,dx13mm,z,dz,sim_z
30,411.1165,B1,152Eu,1,152Gd,0.003530060117601,2.03470762246167e-05,0.015151168313278,0.000122733756855,1.11505600471874,0.0197031048200774,1.08576
31,411.1165,B2,152Eu,1,152Gd,0.003547770308653,2.04457325862292e-05,0.01488868827365,0.0001206797874,1.18969574480378,0.0210239260241672,1.07453
32,411.1165,B3,152Eu,1,152Gd,0.003647052890617,2.09736938276249e-05,0.015506968397086,0.000124399538981,1.2114365588515,0.0213546846248212,1.1134
33,443.965,A0,152Eu,1,152Sm,0.003167857137786,1.80478206309877e-05,0.014457000177882,0.000109314464704,NA,NA,1.10813
34,443.965,A1,152Eu,1,152Sm,0.003408986711437,1.93192519899159e-05,0.015631575227303,0.000114715815714,1.18234738750841,0.0204508560175494,1.13413
35,443.965,A2,152Eu,1,152Sm,0.003144590351915,1.7902221241668e-05,0.014733544704364,0.000110005811839,1.15623263710569,0.0200775207738606,1.1167
36,443.965,A3,152Eu,1,152Sm,0.003219755407121,1.83232177647053e-05,0.015172490113161,0.0001135716535,1.07946866466032,0.0187520923548955,1.10735
37,443.965,B0,152Eu,1,152Sm,0.003434511580265,1.947632473958e-05,0.014269492342967,0.00010681,1.16181903490925,0.020173004684879,1.11945
38,443.965,B1,152Eu,1,152Sm,0.003286138937528,1.86562302087442e-05,0.013780728556953,0.000103453338159,1.14123332514006,0.0198317227807331,1.11107
39,443.965,B2,152Eu,1,152Sm,0.003300605478357,1.87344594498067e-05,0.013796178932752,0.000103139126353,1.19446010356468,0.0207397948511391,1.12275
40,443.965,B3,152Eu,1,152Sm,0.003373138661446,1.91250248041117e-05,0.014237725675791,0.000105722409827,1.22033506175209,0.0211575463364985,1.11617
41,778.9045,A0,152Eu,1,152Gd,0.001920920760377,1.08278346630265e-05,0.00929486044484,5.85687569315668e-05,NA,NA,1.06567
42,778.9045,A1,152Eu,1,152Gd,0.00211732291208,1.19122537209175e-05,0.010092556116955,6.28325110445565e-05,1.13738751591721,0.0191547008580147,1.05264
43,778.9045,A2,152Eu,1,152Gd,0.00191641931205,1.08009460277104e-05,0.009427839758344,5.92030420872118e-05,1.10120135712348,0.0185764030960967,1.04154
44,778.9045,A3,152Eu,1,152Gd,0.001970442266691,1.1102906541113e-05,0.009829534,6.16366e-05,1.01970560708767,0.0171972539410158,1.06635
45,778.9045,B0,152Eu,1,152Gd,0.002152929267124,1.21097631797499e-05,0.009251283174569,5.79289711990337e-05,1.1233363497554,0.0189356488217002,1.06087
46,778.9045,B1,152Eu,1,152Gd,0.002044313955193,1.15061212033407e-05,0.008932552889965,5.60678964813911e-05,1.09529901953951,0.018473399195539,1.07819
47,778.9045,B2,152Eu,1,152Gd,0.002032831241344,1.14444168725187e-05,0.008815604428766,5.54514514735442e-05,1.15129357944556,0.0194237362809267,1.04511
