"energy","det","value","err"
1155.19,"A3",1.07259468799812,0.0215386260552158
1155.19,"B0",1.06594140749203,0.0213914450024697
1155.19,"B1",1.06651015921589,0.0214070224556361
1155.19,"B2",1.11404313864461,0.0223848637242126
1155.19,"B3",1.10057874480695,0.0220934358451149
1238.11,"A1",1.15725420210995,0.0221358244558246
1238.11,"A2",1.15286853392163,0.0220665753984022
1238.11,"A3",1.10284426396868,0.0211066816527598
1238.11,"B0",1.0893188646469,0.0208429395746848
1238.11,"B1",1.089195445444,0.0208457221685807
1238.11,"B2",1.13288870303482,0.0216840350094757
1238.11,"B3",1.12800423368712,0.0215852362374782
1280.96,"A1",1.15931623620999,0.023111998493805
1280.96,"A2",1.14638604123908,0.0229248703950593
1280.96,"A3",1.09180861657067,0.0218289385950991
1280.96,"B0",1.09515199790852,0.0218773856046286
1280.96,"B1",1.07044198708188,0.0213857638541441
1280.96,"B2",1.12590767336491,0.0225314425171083
1280.96,"B3",1.13675419407913,0.0227220926724462
1377.669,"A1",1.08375101252713,0.0212816299066728
1377.669,"A2",1.08593200070579,0.0213444896370021
1377.669,"A3",1.03155827470426,0.0202742225400766
1377.669,"B0",1.02751442709765,0.0201869048525326
1377.669,"B1",1.03343791521572,0.0203078038952881
1377.669,"B2",1.0639688002484,0.0209137514753263
1377.669,"B3",1.06271323526402,0.0208820426163025
1401.516,"A1",1.15278425241039,0.0229662025453028
1401.516,"A2",1.14442946708707,0.0228813885122821
1401.516,"A3",1.09431551299927,0.0218843157252853
1401.516,"B0",1.08508244420888,0.0216744060379937
1401.516,"B1",1.09176378495567,0.0217910572996592
1401.516,"B2",1.14859812921278,0.0229765696246164
1401.516,"B3",1.12672753387081,0.0225116717511796
1407.993,"A1",1.18388256933802,0.0230449944954484
1407.993,"A2",1.16865537841968,0.0227916375632449
1407.993,"A3",1.1229896384349,0.021897991254072
1407.993,"B0",1.11438629426613,0.0217161460228422
1407.993,"B1",1.10720916891553,0.0215779576842217
1407.993,"B2",1.1586706181049,0.0226035637590885
1407.993,"B3",1.14482871492232,0.0223172330351703
1509.217,"A1",1.14054730416203,0.0242169510224571
1509.217,"A2",1.12877085739036,0.0240164050208375
1509.217,"A3",1.08721077585335,0.0231274257139978
1509.217,"B0",1.07402160616893,0.0228335350578763
1509.217,"B1",1.07540561893347,0.022859508554733
1509.217,"B2",1.11522005637094,0.0237329668576124
1509.217,"B3",1.10552813978744,0.0235092858399198
1661.316,"A1",1.10711494755216,0.0234504853205475
1661.316,"A2",1.11612781664411,0.0237288420729005
1661.316,"A3",1.07026411025663,0.0227475658389874
1661.316,"B0",1.05438615843051,0.0223873089524368
1661.316,"B1",1.06033910836275,0.0225123153754671
1661.316,"B2",1.10029494592154,0.0234221039019449
1661.316,"B3",1.09467274913858,0.0232668594800367
1729.64,"A1",1.00698798389709,0.0196708641516115
1729.64,"A2",1.0132529322219,0.0198201334892318
1729.64,"A3",0.973747847036815,0.0190426786488561
1729.64,"B0",0.959414268512942,0.0187530890910866
1729.64,"B1",0.963798556264296,0.0188466747973238
1729.64,"B2",1.00280076562261,0.0196165036008161
1729.64,"B3",0.984484744781655,0.0192503274765049
1764.539,"A1",1.10181682683642,0.0211569118996778
1764.539,"A2",1.09543805335691,0.0210433680093304
1764.539,"A3",1.04978551986392,0.0201648666479171
1764.539,"B0",1.04025370600616,0.0199783248400232
1764.539,"B1",1.04117735343578,0.0200000850522829
1764.539,"B2",1.07710807048753,0.0206907712569395
1764.539,"B3",1.07404838150516,0.0206286420855343
1847.42,"A1",1.04372263544551,0.0212252063260054
1847.42,"A2",1.04729247237027,0.0213371074762082
1847.42,"A3",0.9987629509419,0.0203437736363346
1847.42,"B0",0.9885576065586,0.0201216825250658
1847.42,"B1",0.991635225492024,0.0201927946048102
1847.42,"B2",1.03291957642833,0.0210483276973976
1847.42,"B3",1.0265328069755,0.0209041689259485
2118.536,"A1",1.06390289785377,0.0224071518344661
2118.536,"A2",1.06056798960214,0.022410517238841
2118.536,"A3",1.01838480627449,0.0215081371126437
2118.536,"B0",1.001569134546,0.0211271464269528
2118.536,"B1",1.01246000946724,0.0213719413551513
2118.536,"B2",1.05197325591358,0.0222357706362702
2118.536,"B3",1.03938633269751,0.021940891594702
2204.071,"A1",1.09112125881083,0.035906469141432
2204.071,"A2",1.09315247362259,0.035985885924886
2204.071,"A3",1.03646133854554,0.0341178516901565
2204.071,"B0",1.03935183146353,0.0342067026386287
2204.071,"B1",1.04009666608064,0.0342360364579122
2204.071,"B2",1.0734747720122,0.0353368984205291
2204.071,"B3",1.07368843439733,0.0353387496729549
2447.673,"A1",1.08701043842472,0.0229843805341031
2447.673,"A2",1.09747367957118,0.0232651395347206
2447.673,"A3",1.04672608137592,0.0221740704296409
2447.673,"B0",1.02906927807925,0.0217727039731811
2447.673,"B1",1.03146865405961,0.0218467484070701
2447.673,"B2",1.08366210618483,0.0229623806889662
2447.673,"B3",1.06200103042096,0.0224851766275418
