Nuclide,Energy,is_InCas,Daughter,Detector,x100mm,dx100mm,x13mm,dx13mm,z,dz
152Eu,344.2785,1,152Gd,B0,0.004351904246628,2.37794898238442e-05,0.019181064881332,0.000108082623033,1.09518791299031,0.0181585583281618
152Eu,344.2785,1,152Gd,B1,0.004196855434045,2.29349937546628e-05,0.01875973893153,0.000105755596886,1.07067563911274,0.0177561793966846
152Eu,344.2785,1,152Gd,B2,0.004191978184668,2.29084847377317e-05,0.018541050996509,0.000104554852796,1.12881173607821,0.0187206453523407
152Eu,344.2785,1,152Gd,B3,0.004323848973764,2.36262410107718e-05,0.019070206047752,0.000107450334055,1.16788652235108,0.0193639655863735
226Ra,351.932,1,214Bi,A0,0.0040238946302,3.44061063972597e-05,0.019526031279108,0.00016691921498,NA,NA
226Ra,351.932,1,214Bi,A1,0.004278164666665,3.65788853184506e-05,0.021174142117438,0.000181003560537,1.09540370544612,0.0207660756143736
226Ra,351.932,1,214Bi,A2,0.004005383045304,3.42477887485588e-05,0.019745436152899,0.000168793903184,1.09891908421661,0.0208377623353682
226Ra,351.932,1,214Bi,A3,0.004104009350662,3.50907665387938e-05,0.019865117711715,0.000169817174026,1.05089958534517,0.0199267104242587
226Ra,351.932,1,214Bi,B0,0.004286048126747,3.6646463625198e-05,0.020122374790054,0.000172016143779,1.02815794268328,0.019493844275864
226Ra,351.932,1,214Bi,B1,0.004126206460778,3.52803350422516e-05,0.019113805735732,0.000163396356474,1.03315263813616,0.0195911008360994
226Ra,351.932,1,214Bi,B2,0.00412408339397,3.52623622296533e-05,0.019226692644273,0.00016436119868,1.07092659911745,0.0203071177206863
226Ra,351.932,1,214Bi,B3,0.004232409542819,3.61879123270883e-05,0.020363722958723,0.000174078353335,1.07057234578418,0.020298162039053
152Eu,411.1165,1,152Gd,A0,0.003424835894107,1.98344039448186e-05,0.015972722137303,0.000130734476182,NA,NA
152Eu,411.1165,1,152Gd,A1,0.003659921717666,2.10530945950506e-05,0.016757461240553,0.000133390297375,1.18409379578209,0.0208366352622532
152Eu,411.1165,1,152Gd,A2,0.003390063850156,1.96155702726516e-05,0.016266642953247,0.000130847481777,1.12901142162654,0.0199281600592012
152Eu,411.1165,1,152Gd,A3,0.003469704237679,2.00720325516416e-05,0.016952265539303,0.000136565762121,1.04113904047969,0.0183818878211475
152Eu,411.1165,1,152Gd,B0,0.00369599263384,2.12793287706677e-05,0.015559104292504,0.000126301347366,1.14664380860872,0.0202647994696482
152Eu,411.1165,1,152Gd,B1,0.003530060117601,2.03470762246167e-05,0.015151168313278,0.000122733756855,1.11505600471874,0.0197031048200774
152Eu,411.1165,1,152Gd,B2,0.003547770308653,2.04457325862292e-05,0.01488868827365,0.0001206797874,1.18969574480378,0.0210239260241672
152Eu,411.1165,1,152Gd,B3,0.003647052890617,2.09736938276249e-05,0.015506968397086,0.000124399538981,1.2114365588515,0.0213546846248212
152Eu,443.965,1,152Sm,A0,0.003167857137786,1.80478206309877e-05,0.014457000177882,0.000109314464704,NA,NA
152Eu,443.965,1,152Sm,A1,0.003408986711437,1.93192519899159e-05,0.015631575227303,0.000114715815714,1.18234738750841,0.0204508560175494
152Eu,443.965,1,152Sm,A2,0.003144590351915,1.7902221241668e-05,0.014733544704364,0.000110005811839,1.15623263710569,0.0200775207738606
152Eu,443.965,1,152Sm,A3,0.003219755407121,1.83232177647053e-05,0.015172490113161,0.0001135716535,1.07946866466032,0.0187520923548955
152Eu,443.965,1,152Sm,B0,0.003434511580265,1.947632473958e-05,0.014269492342967,0.00010681,1.16181903490925,0.020173004684879
