Nuclide,Energy,is_InCas,Daughter,Detector,x100mm,dx100mm,x13mm,dx13mm
152Eu,1212.948,1,152Sm,A1,0.001454842707305,1.18215178994299E-05,0.006637394520848,9.21034458267911E-05
152Eu,1299.142,1,152Gd,A1,0.001378365955221,1.00135486614908E-05,0.006684048024446,7.85072448242501E-05
152Eu,1408.013,1,152Sm,A1,0.001306917235517,7.01257575716007E-06,0.006161207186582,3.66708512562652E-05
152Eu,121.7817,1,152Sm,A2,0.008644459804818,4.75846400449115E-05,0.04211673291176,0.00023567372261
152Eu,244.6974,1,152Sm,A2,0.005491460172907,3.38527223801596E-05,0.025486528859777,0.000167569181946
152Eu,344.2785,1,152Gd,A2,0.004057501615157,2.21773872181082E-05,0.020211299535616,0.000113852695647
152Eu,411.1165,1,152Gd,A2,0.003390063850156,1.96155702726516E-05,0.016266642953247,0.000130847481777
152Eu,443.965,1,152Sm,A2,0.003144590351915,1.7902221241668E-05,0.014733544704364,0.000110005811839
152Eu,778.9045,1,152Gd,A2,0.00191641931205,1.08009460277104E-05,0.009427839758344,5.92030420872118E-05
152Eu,867.38,1,152Sm,A2,0.001736197604387,1.13767810089709E-05,0.007948072577482,6.96134737142785E-05
152Eu,964.072,1,152Sm,A2,0.001588696596542,8.28770509902087E-06,0.007701395165475,4.57078592803981E-05
152Eu,1085.837,1,152Sm,A2,0.00147937054216,1.00434597130669E-05,0.007588599168007,5.76603518016148E-05
152Eu,1089.737,1,152Gd,A2,0.001498001783641,1.12481350735339E-05,0.007681625369483,9.59965839820087E-05
152Eu,1112.076,1,152Sm,A2,0.001436440650649,7.95276853381296E-06,0.007064394892164,4.47365888656585E-05
152Eu,1212.948,1,152Sm,A2,0.001308628351778,1.07804547904579E-05,0.00592476885171,8.75398634809512E-05
152Eu,1299.142,1,152Gd,A2,0.001237728127392,9.0321466161173E-06,0.006122746347191,7.4825884631693E-05
152Eu,1408.013,1,152Sm,A2,0.001158309852253,6.22773328062394E-06,0.005620990839529,3.3794941196515E-05
152Eu,121.7817,1,152Sm,A3,0.008717121766262,4.79846832043006E-05,0.043002113061167,0.000240664851514
152Eu,244.6974,1,152Sm,A3,0.005576140192419,3.43725478946164E-05,0.026270952130247,0.000172697612313
152Eu,344.2785,1,152Gd,A3,0.00412987906899,2.25719562069622E-05,0.02097981497544,0.000118139884359
152Eu,411.1165,1,152Gd,A3,0.003469704237679,2.00720325516416E-05,0.016952265539303,0.000136565762121
152Eu,443.965,1,152Sm,A3,0.003219755407121,1.83232177647053E-05,0.015172490113161,0.0001135716535
152Eu,778.9045,1,152Gd,A3,0.001970442266691,1.1102906541113E-05,0.009829534,6.16366E-05
152Eu,867.38,1,152Sm,A3,0.001792405973143,1.17403775587402E-05,0.008352229008362,7.28634552427907E-05
152Eu,964.072,1,152Sm,A3,0.001644972962854,8.57648720722578E-06,0.008043487208528,4.76282102502844E-05
152Eu,1085.837,1,152Sm,A3,0.001532265583486,1.03987464912421E-05,0.00805338252899,6.09769748563852E-05
152Eu,1089.737,1,152Gd,A3,0.001914150586892,1.50818456255348E-05,0.009801411815997,0.000144492358053
152Eu,1112.076,1,152Sm,A3,0.001497991734101,8.28737979333146E-06,0.007427560545472,4.79727155125961E-05
152Eu,1212.948,1,152Sm,A3,0.00134513193409,1.10727587360324E-05,0.006273549140854,0.000140442832984
152Eu,1299.142,1,152Gd,A3,0.001281824861787,9.32944950255355E-06,0.006355829297373,7.75278410777319E-05
152Eu,1408.013,1,152Sm,A3,0.001200108924487,6.44886011137877E-06,0.005944435100207,3.56001572124407E-05
